2.2		608		1.18
11		608		1.18
113		608		1.18
970		608		1.18
9610		608		1.18
12080		608		1.18
13900		608		1.18
19700		608		1.18
24200		608		1.18
27700		608		1.18
33500		608		1.18
11300		608		1.18
14800		608		1.18
20000		608		1.18
37200		608		1.18
59500		608		1.18
78000		600		1.17
86800		592		1.15
96200		584		1.13
105500		568		1.11
117200		544		1.06
129800		528		1.02
135800		512		1.00
140100		504		0.984
144000		496		0.976
154600		480		0.936
158200		464		0.912
166900		448		0.880
172700		440		0.864
178800		432		0.840
182500		424		0.832
186400		416		0.816
190100		408		0.800
196200		400		0.784
200800		384		0.760
207600		376		0.744
213900		368		0.720
218400		360		0.704
232900		336		0.656
262100		296		0.584
278300		280		0.552
327400		240		0.472
340200		232		0.456
385600		200		0.384
427000		184		0.352
480000		160		0.304
509300		152		0.288
744800		96		0.168
1186900		48		0.072
1555700		24		0.048
1816000		8		0.032
